caso,lega,stagione,data,partita,colonna,valore_attuale,valore_proposto,metodo,errore_atteso,unita_errore,alternativa_stimata,unita_alternativa,errore_alternativa,verdetto,note
B,bundesliga,2425,2025-02-09,Holstein Kiel vs Bochum,home_npxg,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
B,bundesliga,2425,2025-02-09,Holstein Kiel vs Bochum,home_ppda,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
B,bundesliga,2425,2025-02-09,Holstein Kiel vs Bochum,home_deep,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
B,bundesliga,2425,2025-02-09,Bochum vs Holstein Kiel,away_npxg,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
B,bundesliga,2425,2025-02-09,Bochum vs Holstein Kiel,away_ppda,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
B,bundesliga,2425,2025-02-09,Bochum vs Holstein Kiel,away_deep,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Nantes vs Toulouse,home_npxg,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Nantes vs Toulouse,home_ppda,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Nantes vs Toulouse,home_deep,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Toulouse vs Nantes,away_npxg,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Toulouse vs Nantes,away_ppda,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
C,ligue_1,2526,2026-05-17,Toulouse vs Nantes,away_deep,,,nessuno: non esiste un predittore di npxG/PPDA/deep dai dati football-data (i tiri in porta non contengono ne' il pressing ne' la posizione dei passaggi),,,,,,NON STIMABILE -> resta NaN dichiarato,PPDA e deep non hanno nemmeno un proxy nello schema interno
D,la_liga,1819,2018-10-06,Alaves - Real Madrid,odds_over25_open / odds_under25_open,1.53/1.59,,diagnosi da margine: overround 1.2825 (z robusto 59.5) contro una mediana d'epoca di 1.0554,,,,,,"FINTO PIENO: valori presenti ma fuori scala. Il guard della Fase 58 scatta solo per overround < 1 e non li intercetta. Da svuotare come le 8 righe gemelle, oppure estendere il guard con un tetto superiore",gia' segnalata in cantiere/out/caccia_quote_singole.json
D,la_liga,1819,2018-11-24,Eibar - Real Madrid,odds_over25_open / odds_under25_open,1.45/1.69,,diagnosi da margine: overround 1.2814 (z robusto 59.2) contro una mediana d'epoca di 1.0554,,,,,,"FINTO PIENO: valori presenti ma fuori scala. Il guard della Fase 58 scatta solo per overround < 1 e non li intercetta. Da svuotare come le 8 righe gemelle, oppure estendere il guard con un tetto superiore",gia' segnalata in cantiere/out/caccia_quote_singole.json
D,la_liga,1819,2018-12-07,Leganes - Getafe,odds_over25_open / odds_under25_open,2.89/1.5,,diagnosi da margine: overround 1.0127 (z robusto -11.2) contro una mediana d'epoca di 1.0554,,,,,,"FINTO PIENO: valori presenti ma fuori scala. Il guard della Fase 58 scatta solo per overround < 1 e non li intercetta. Da svuotare come le 8 righe gemelle, oppure estendere il guard con un tetto superiore",gia' segnalata in cantiere/out/caccia_quote_singole.json
D,la_liga,1819,2019-02-10,Leganes - Betis,odds_over25_open / odds_under25_open,2.48/1.38,,diagnosi da margine: overround 1.1279 (z robusto 19.0) contro una mediana d'epoca di 1.0554,,,,,,"FINTO PIENO: valori presenti ma fuori scala. Il guard della Fase 58 scatta solo per overround < 1 e non li intercetta. Da svuotare come le 8 righe gemelle, oppure estendere il guard con un tetto superiore",gia' segnalata in cantiere/out/caccia_quote_singole.json
D,bundesliga,1819,2019-01-26,Dortmund - Hannover,odds_over25_open / odds_under25_open,1.34/2.87,,diagnosi da margine: overround 1.0947 (z robusto 10.3) contro una mediana d'epoca di 1.0554,,,,,,"FINTO PIENO: valori presenti ma fuori scala. Il guard della Fase 58 scatta solo per overround < 1 e non li intercetta. Da svuotare come le 8 righe gemelle, oppure estendere il guard con un tetto superiore","NUOVA: non era nell'elenco precedente, che guardava solo la_liga"
D,serie_a,tutte,,(varie),home_midweek_europe / away_midweek_europe,0,1,ricalcolo di fixtures.add_rest_days_full con i calendari di coppa gia' recuperati in cantiere/data/ricerca/fixtures_*.csv,0.0,"nessuno: e' dato di calendario, non stima",,,,CHIUDIBILE SUBITO E SENZA STIMA: 236 celle di questa lega (su 1603 totali) sono uno 0 falso; cambia anche il riposo in 314 partite,e' il buco piu' grande rimasto e non e' un NaN: e' uno 0 che sembra un dato
D,premier_league,tutte,,(varie),home_midweek_europe / away_midweek_europe,0,1,ricalcolo di fixtures.add_rest_days_full con i calendari di coppa gia' recuperati in cantiere/data/ricerca/fixtures_*.csv,0.0,"nessuno: e' dato di calendario, non stima",,,,CHIUDIBILE SUBITO E SENZA STIMA: 251 celle di questa lega (su 1603 totali) sono uno 0 falso; cambia anche il riposo in 282 partite,e' il buco piu' grande rimasto e non e' un NaN: e' uno 0 che sembra un dato
D,la_liga,tutte,,(varie),home_midweek_europe / away_midweek_europe,0,1,ricalcolo di fixtures.add_rest_days_full con i calendari di coppa gia' recuperati in cantiere/data/ricerca/fixtures_*.csv,0.0,"nessuno: e' dato di calendario, non stima",,,,CHIUDIBILE SUBITO E SENZA STIMA: 454 celle di questa lega (su 1603 totali) sono uno 0 falso; cambia anche il riposo in 407 partite,e' il buco piu' grande rimasto e non e' un NaN: e' uno 0 che sembra un dato
D,bundesliga,tutte,,(varie),home_midweek_europe / away_midweek_europe,0,1,ricalcolo di fixtures.add_rest_days_full con i calendari di coppa gia' recuperati in cantiere/data/ricerca/fixtures_*.csv,0.0,"nessuno: e' dato di calendario, non stima",,,,CHIUDIBILE SUBITO E SENZA STIMA: 180 celle di questa lega (su 1603 totali) sono uno 0 falso; cambia anche il riposo in 189 partite,e' il buco piu' grande rimasto e non e' un NaN: e' uno 0 che sembra un dato
D,ligue_1,tutte,,(varie),home_midweek_europe / away_midweek_europe,0,1,ricalcolo di fixtures.add_rest_days_full con i calendari di coppa gia' recuperati in cantiere/data/ricerca/fixtures_*.csv,0.0,"nessuno: e' dato di calendario, non stima",,,,CHIUDIBILE SUBITO E SENZA STIMA: 482 celle di questa lega (su 1603 totali) sono uno 0 falso; cambia anche il riposo in 508 partite,e' il buco piu' grande rimasto e non e' un NaN: e' uno 0 che sembra un dato
